city,cause,year,adthnum,adrate
'covt','death',1996,2476,0.014818361
'covt','death',1997,2474,0.014806392
'covt','death',1998,2506,0.014997905
'covt','death',1999,2514,0.015045784
'covt','death',2000,2593,0.015518583
'dayt','death',1987,4556,0.008149364
'dayt','death',1988,4631,0.008283518
'dayt','death',1989,4378,0.007830974
'dayt','death',1990,4421,0.007907889
'dayt','death',1991,4609,0.008244166
'dayt','death',1992,4541,0.008122534
'dayt','death',1993,4862,0.00869671
'dayt','death',1994,4712,0.008428403
'dayt','death',1995,4825,0.008630528
'dayt','death',1996,4892,0.008750371
'dayt','death',1997,4892,0.008750371
'dayt','death',1998,4926,0.008811187
'dayt','death',1999,4984,0.008914933
'dayt','death',2000,4961,0.008873792
'dc','death',1987,6336,0.011075781
'dc','death',1988,6372,0.011138711
'dc','death',1989,6319,0.011046063
'dc','death',1990,6049,0.010574084
'dc','death',1991,5911,0.01033285
'dc','death',1992,5938,0.010380048
'dc','death',1993,5924,0.010355575
'dc','death',1994,6032,0.010544367
'dc','death',1995,5777,0.010098609
'dc','death',1996,5488,0.009593416
'dc','death',1997,5086,0.008890691
'dc','death',1998,4899,0.008563802
'dc','death',1999,5145,0.008993828
'dc','death',2000,4954,0.008659946
'denv','death',1987,6217,0.004420318
'denv','death',1988,6285,0.004468666
'denv','death',1989,6366,0.004526257
'denv','death',1990,6530,0.004642862
'denv','death',1991,6885,0.004895269
'denv','death',1992,6740,0.004792173
'denv','death',1993,7188,0.005110703
'denv','death',1994,7351,0.005226597
'denv','death',1995,7366,0.005237262
'denv','death',1996,7479,0.005317606
'denv','death',1997,7473,0.00531334
'denv','death',1998,7883,0.005604852
'denv','death',1999,7811,0.00555366
'denv','death',2000,7711,0.005482559
'desm','death',1987,2735,0.007301102
'desm','death',1988,2726,0.007277076
'desm','death',1989,2781,0.007423899
'desm','death',1990,2733,0.007295763
'desm','death',1991,2754,0.007351822
'desm','death',1992,2772,0.007399873
'desm','death',1993,2820,0.00752801
'desm','death',1994,2817,0.007520001
'desm','death',1995,2911,0.007770935
'desm','death',1996,2876,0.007677502
'desm','death',1997,2960,0.007901741
'desm','death',1998,2995,0.007995174
'desm','death',1999,2934,0.007832334
'desm','death',2000,3045,0.008128649
'det','death',1987,18043,0.0087538
'det','death',1988,18315,0.008885764
'det','death',1989,17742,0.008607766
'det','death',1990,17349,0.008417097
'det','death',1991,17207,0.008348204
'det','death',1992,16898,0.008198288
'det','death',1993,17517,0.008498604
'det','death',1994,17506,0.008493267
'det','death',1995,17453,0.008467554
'det','death',1996,16833,0.008166753
'det','death',1997,16471,0.007991123
'det','death',1998,16401,0.007957162
'det','death',1999,16330,0.007922715
'det','death',2000,16178,0.007848971
'dlft','death',1987,17613,0.004193698
'dlft','death',1988,17832,0.004245843
'dlft','death',1989,18476,0.004399181
'dlft','death',1990,18564,0.004420134
